full_name,description,predominant_language,topics,stars,forks,open_issues,watchers,size_kb,created_at,updated_at,pushed_at,license,categories
abdulrahman9901/FWD-Evaluate-A-News-Article-with-NLP,,JavaScript,,0,0,0,0,159,2021-10-02T23:27:26Z,2021-10-02T23:49:29Z,2023-03-16T18:45:34Z,,Misc
abdulrahman9901/fend-webpack-sass,Webpack & Sass in the Front End Developer Nanodegree program,,,0,0,0,0,312,2021-09-18T17:56:20Z,2021-09-18T17:56:20Z,2021-08-17T18:25:37Z,,Web Backend;Web Frontend/React
abdulrahman9901/fend-webpack-content,Webpack Content in the Front End Developer Nanodegree program,,,0,0,0,0,259,2021-09-15T14:15:20Z,2021-09-15T14:15:21Z,2021-08-11T10:07:52Z,,Web Backend;Web Frontend/React
abdulrahman9901/FWD-Weather-Journal-App,The 2nd project of FWD scholarship ,JavaScript,,0,0,0,0,577,2021-03-29T17:21:20Z,2021-03-29T18:40:58Z,2021-03-29T18:40:56Z,,Misc
abdulrahman9901/Rock-Paper-Scissors-Game,Rock Paper Scissors Game from first course of Web Applications for Everybody Specialization ,PHP,,0,0,0,0,7,2021-02-07T14:53:51Z,2021-03-28T00:57:40Z,2021-02-07T14:53:57Z,Apache-2.0,Games/Interactive;Coursework/Certs
abdulrahman9901/Motor-Control-system,Graduation project for NP explore cycle#2 -embedded system training,C,,0,0,0,0,494,2021-02-07T18:06:44Z,2021-03-28T00:56:42Z,2021-02-07T18:11:18Z,,Embedded Systems
abdulrahman9901/course-JS-and-the-DOM,,,,0,0,0,0,43407,2021-03-12T15:36:12Z,2021-03-12T15:36:14Z,2020-10-22T19:38:25Z,,Coursework/Certs
abdulrahman9901/Snake-Game,,C++,,0,0,0,0,54,2020-05-16T04:40:59Z,2020-05-16T04:57:25Z,2020-05-16T04:57:23Z,,Games/Interactive
abdulrahman9901/CppND-Memory-Management-Chatbot-master,,C++,,0,0,0,0,2297,2020-05-10T22:46:02Z,2020-05-11T22:57:29Z,2020-05-11T22:57:26Z,,C++/Systems;Realtime/Networking
abdulrahman9901/CppND-System-Monitor,,C++,,0,0,0,0,289,2020-05-06T20:08:12Z,2020-05-10T03:09:29Z,2020-05-10T03:09:27Z,,C++/Systems
abdulrahman9901/Route-Planner,,C++,,0,0,0,0,1266,2020-05-02T19:02:13Z,2020-05-05T03:30:49Z,2020-05-05T03:30:47Z,,Misc
